       lon       lat          ve          vn          vu          se          sn          su         ren         reu         rnu     start    finish      name
 -122.0000   30.0000 -1.3105e+00 -1.1445e+00  1.9855e-01  5.0000e-02  5.0000e-02  5.0000e-02  0.0000e+00  0.0000e+00  0.0000e+00       0.0       0.0      0001
 -122.0000   30.2647 -1.4904e+00 -1.2647e+00  2.5988e-01  5.0000e-02  5.0000e-02  5.0000e-02  0.0000e+00  0.0000e+00  0.0000e+00       0.0       0.0      0002
 -122.0000   30.5294 -1.5444e+00 -1.3181e+00  3.4256e-01  5.0000e-02  5.0000e-02  5.0000e-02  0.0000e+00  0.0000e+00  0.0000e+00       0.0       0.0      0003
 -122.0000   30.7941 -1.8397e+00 -1.2914e+00  2.9981e-01  5.0000e-02  5.0000e-02  5.0000e-02  0.0000e+00  0.0000e+00  0.0000e+00       0.0       0.0      0004
 -122.0000   31.0588 -1.8417e+00 -1.3580e+00  4.4720e-01  5.0000e-02  5.0000e-02  5.0000e-02  0.0000e+00  0.0000e+00  0.0000e+00       0.0       0.0      0005
 -122.0000   31.3235 -2.0087e+00 -1.2565e+00  3.1184e-01  5.0000e-02  5.0000e-02  5.0000e-02  0.0000e+00  0.0000e+00  0.0000e+00       0.0       0.0      0006
 -122.0000   31.5882 -2.0901e+00 -1.3627e+00  3.9027e-01  5.0000e-02  5.0000e-02  5.0000e-02  0.0000e+00  0.0000e+00  0.0000e+00       0.0       0.0      0007
 -122.0000   31.8529 -2.3761e+00 -1.2909e+00  4.2243e-01  5.0000e-02  5.0000e-02  5.0000e-02  0.0000e+00  0.0000e+00  0.0000e+00       0.0       0.0      0008
 -122.0000   32.1176 -2.4422e+00 -1.3122e+00  5.2057e-01  5.0000e-02  5.0000e-02  5.0000e-02  0.0000e+00  0.0000e+00  0.0000e+00       0.0       0.0      0009
 -122.0000   32.3824 -2.6848e+00 -1.1269e+00  4.7662e-01  5.0000e-02  5.0000e-02  5.0000e-02  0.0000e+00  0.0000e+00  0.0000e+00       0.0       0.0      0010
 -122.0000   32.6471 -2.9130e+00 -1.1170e+00  5.3121e-01  5.0000e-02  5.0000e-02  5.0000e-02  0.0000e+00  0.0000e+00  0.0000e+00       0.0       0.0      0011
 -122.0000   32.9118 -3.0813e+00 -9.5128e-01  5.0921e-01  5.0000e-02  5.0000e-02  5.0000e-02  0.0000e+00  0.0000e+00  0.0000e+00       0.0       0.0      0012
 -122.0000   33.1765 -3.2451e+00 -9.2084e-01  6.5930e-01  5.0000e-02  5.0000e-02  5.0000e-02  0.0000e+00  0.0000e+00  0.0000e+00       0.0       0.0      0013
 -122.0000   33.4412 -3.3386e+00 -7.6885e-01  6.7662e-01  5.0000e-02  5.0000e-02  5.0000e-02  0.0000e+00  0.0000e+00  0.0000e+00       0.0       0.0      0014
 -122.0000   33.7059 -3.3608e+00 -4.4794e-01  7.0773e-01  5.0000e-02  5.0000e-02  5.0000e-02  0.0000e+00  0.0000e+00  0.0000e+00       0.0       0.0      0015
 -122.0000   33.9706 -3.5786e+00 -3.0273e-01  6.7878e-01  5.0000e-02  5.0000e-02  5.0000e-02  0.0000e+00  0.0000e+00  0.0000e+00       0.0       0.0      0016
 -122.0000   34.2353 -3.6938e+00 -1.0044e-01  7.7289e-01  5.0000e-02  5.0000e-02  5.0000e-02  0.0000e+00  0.0000e+00  0.0000e+00       0.0       0.0      0017
 -122.0000   34.5000 -3.6594e+00  2.7686e-02  7.7157e-01  5.0000e-02  5.0000e-02  5.0000e-02  0.0000e+00  0.0000e+00  0.0000e+00       0.0       0.0      0018
 -122.0000   34.7647 -3.5588e+00  1.8416e-01  6.6669e-01  5.0000e-02  5.0000e-02  5.0000e-02  0.0000e+00  0.0000e+00  0.0000e+00       0.0       0.0      0019
 -122.0000   35.0294 -3.6197e+00  4.7158e-01  7.1843e-01  5.0000e-02  5.0000e-02  5.0000e-02  0.0000e+00  0.0000e+00  0.0000e+00       0.0       0.0      0020
 -122.0000   35.2941 -3.5022e+00  6.9358e-01  7.3045e-01  5.0000e-02  5.0000e-02  5.0000e-02  0.0000e+00  0.0000e+00  0.0000e+00       0.0       0.0      0021
 -122.0000   35.5588 -3.4002e+00  9.0707e-01  6.4296e-01  5.0000e-02  5.0000e-02  5.0000e-02  0.0000e+00  0.0000e+00  0.0000e+00       0.0       0.0      0022
 -122.0000   35.8235 -3.2322e+00  9.9580e-01  5.9271e-01  5.0000e-02  5.0000e-02  5.0000e-02  0.0000e+00  0.0000e+00  0.0000e+00       0.0       0.0      0023
 -122.0000   36.0882 -3.0528e+00  1.1554e+00  7.4755e-01  5.0000e-02  5.0000e-02  5.0000e-02  0.0000e+00  0.0000e+00  0.0000e+00       0.0       0.0      0024
 -122.0000   36.3529 -2.9753e+00  1.2767e+00  6.3091e-01  5.0000e-02  5.0000e-02  5.0000e-02  0.0000e+00  0.0000e+00  0.0000e+00       0.0       0.0      0025
 -122.0000   36.6176 -2.7899e+00  1.3521e+00  5.3293e-01  5.0000e-02  5.0000e-02  5.0000e-02  0.0000e+00  0.0000e+00  0.0000e+00       0.0       0.0      0026
 -122.0000   36.8824 -2.6736e+00  1.4329e+00  6.4224e-01  5.0000e-02  5.0000e-02  5.0000e-02  0.0000e+00  0.0000e+00  0.0000e+00       0.0       0.0      0027
 -122.0000   37.1471 -2.4852e+00  1.4295e+00  5.3954e-01  5.0000e-02  5.0000e-02  5.0000e-02  0.0000e+00  0.0000e+00  0.0000e+00       0.0       0.0      0028
 -122.0000   37.4118 -2.1980e+00  1.5309e+00  3.8678e-01  5.0000e-02  5.0000e-02  5.0000e-02  0.0000e+00  0.0000e+00  0.0000e+00       0.0       0.0      0029
 -122.0000   37.6765 -2.0220e+00  1.5722e+00  4.7573e-01  5.0000e-02  5.0000e-02  5.0000e-02  0.0000e+00  0.0000e+00  0.0000e+00       0.0       0.0      0030
 -122.0000   37.9412 -2.0340e+00  1.5383e+00  3.4939e-01  5.0000e-02  5.0000e-02  5.0000e-02  0.0000e+00  0.0000e+00  0.0000e+00       0.0       0.0      0031
 -121.7353   30.0000 -1.4559e+00 -1.2691e+00  3.0282e-01  5.0000e-02  5.0000e-02  5.0000e-02  0.0000e+00  0.0000e+00  0.0000e+00       0.0       0.0      0032
 -121.7353   30.2647 -1.5428e+00 -1.3157e+00  3.1230e-01  5.0000e-02  5.0000e-02  5.0000e-02  0.0000e+00  0.0000e+00  0.0000e+00       0.0       0.0      0033
 -121.7353   30.5294 -1.6357e+00 -1.4071e+00  3.7349e-01  5.0000e-02  5.0000e-02  5.0000e-02  0.0000e+00  0.0000e+00  0.0000e+00       0.0       0.0      0034
 -121.7353   30.7941 -1.7066e+00 -1.4698e+00  3.7073e-01  5.0000e-02  5.0000e-02  5.0000e-02  0.0000e+00  0.0000e+00  0.0000e+00       0.0       0.0      0035
